"InteractorA","InteractorA_type","Relation","InteractorB","InteractorB_type","DB","DB_type","PMID"
"CEBPA","Gene","up-regulates-quantity-by-expression","HSD11B1","Gene","SIGNOR","Signalling-Networks","19088256"
"CEBPB","Gene","up-regulates-quantity-by-expression","HSD11B1","Gene","SIGNOR","Signalling-Networks","19088256"
"AIRE","Gene","down-regulates-quantity-by-repression","ICA1","Gene","SIGNOR","Signalling-Networks","22447927"
"FEZF2","Gene","down-regulates-quantity-by-repression","MDM2","Gene","SIGNOR","Signalling-Networks","23677067"
"NFE2L3","Gene","down-regulates-quantity-by-repression","NQO1","Gene","SIGNOR","Signalling-Networks","15385560"
"PHB","Gene","down-regulates-quantity-by-repression","AR","Gene","SIGNOR","Signalling-Networks","16964284"
"TP53","Gene","up-regulates-activity","PHB","Gene","SIGNOR","Signalling-Networks","16918502"
"NFE2L3","Gene","up-regulates-quantity-by-expression","PLA2G7","Gene","SIGNOR","Signalling-Networks","22247257"
"SP1","Gene","up-regulates-quantity-by-expression","RLIM","Gene","SIGNOR","Signalling-Networks","23650532"
"TP53","Gene","down-regulates-quantity-by-repression","RLIM","Gene","SIGNOR","Signalling-Networks","23650532"
"HNF1A","Gene","up-regulates-quantity-by-expression","SLC22A9","Gene","SIGNOR","Signalling-Networks","20829431"
"HNF1A","Gene","up-regulates-quantity-by-expression","SLC22A10","Gene","SIGNOR","Signalling-Networks","20829431"
"WT1","Gene","up-regulates-quantity-by-expression","SLC29A4","Gene","SIGNOR","Signalling-Networks","18523561"
"CEBPG","Gene","up-regulates-quantity-by-expression","SLCO1B3","Gene","SIGNOR","Signalling-Networks","15322262"
"HNF1A","Gene","up-regulates-quantity-by-expression","SLCO1B3","Gene","SIGNOR","Signalling-Networks","16741617"
"RARA","Gene","up-regulates-quantity-by-expression","SLCO1B3","Gene","SIGNOR","Signalling-Networks","15322262"
"STAT5A","Gene","up-regulates-quantity-by-expression","SLCO1B3","Gene","SIGNOR","Signalling-Networks","15840840"
"SMARCA1","Gene","down-regulates-quantity-by-repression","ST7","Gene","SIGNOR","Signalling-Networks","15485929"
"TFAP2D","Gene","up-regulates-quantity-by-expression","ST8SIA2","Gene","SIGNOR","Signalling-Networks","24462686"
"GATA4","Gene","down-regulates-quantity-by-repression","TDO2","Gene","SIGNOR","Signalling-Networks","19003156"
"NR3C1","Gene","down-regulates-quantity-by-repression","TDO2","Gene","SIGNOR","Signalling-Networks","16272140"
"NFE2L2","Gene","up-regulates-quantity-by-expression","TFB2M","Gene","SIGNOR","Signalling-Networks","15684387"
"NRF1","Gene","up-regulates-quantity-by-expression","TFB2M","Gene","SIGNOR","Signalling-Networks","15684387"
"TAL1","Gene","up-regulates-quantity-by-expression","UBE2H","Gene","SIGNOR","Signalling-Networks","20028976"
"ATF2","Gene","up-regulates-quantity-by-expression","YTHDC2","Gene","SIGNOR","Signalling-Networks","24269672"
"RLIM","Gene","down-regulates-quantity-by-destabilization","ZFP42","Gene","SIGNOR","Signalling-Networks","22596162"
"FLNA","Gene","up-regulates-activity","KCND2","Gene","SIGNOR","Signalling-Networks","11102480"
"KCNIP4","Gene","up-regulates-activity","KCND2","Gene","SIGNOR","Signalling-Networks","24811166"
"DPP6","Gene","up-regulates-activity","KCND2","Gene","SIGNOR","Signalling-Networks","17130523"
"DPP10","Gene","up-regulates-activity","KCND2","Gene","SIGNOR","Signalling-Networks","15454437"
"PCDHAC1","Gene","up-regulates-activity","ITGB1","Gene","SIGNOR","Signalling-Networks","16697637"
"PCDHAC2","Gene","up-regulates-activity","ITGB1","Gene","SIGNOR","Signalling-Networks","16697637"
"PCDH10","Gene","up-regulates-activity","ITGB1","Gene","SIGNOR","Signalling-Networks","16697637"
"PCDH9","Gene","up-regulates-activity","ITGB1","Gene","SIGNOR","Signalling-Networks","16697637"
"GLIS1","Gene","up-regulates-quantity-by-expression","WNT5A","Gene","SIGNOR","Signalling-Networks","32047936"
"CELF6","Gene","up-regulates-quantity-by-stabilization","CDKN1A","Gene","SIGNOR","Signalling-Networks","31534127"
"IST1","Gene","up-regulates-activity","SPAST","Gene","SIGNOR","Signalling-Networks","23897888"
"FOXP1","Gene","down-regulates-quantity-by-repression","CSF1R","Gene","SIGNOR","Signalling-Networks","15286807"
"FOXP1","Gene","up-regulates-quantity-by-expression","PITX3","Gene","SIGNOR","Signalling-Networks","20175877"
"FOXP1","Gene","down-regulates-quantity-by-repression","SEMA5B","Gene","SIGNOR","Signalling-Networks","24023716"
